(K/u)_L,(K/u)_M,Jm_L,Jm_M,u_L/u_M(Shear contrast),volume contrast,critical strain,wavenumber
10,1000,1000,10,100,0.04,0.036040649,1.41
100,1000,1000,10,100,0.04,0.03604248,1.41
1000,1000,1000,10,100,0.04,0.03604248,1.41
0.1,1000,1000,30,100,0.04,0.036571655,1.36
0.2,1000,1000,30,100,0.04,0.03666687,1.39
1,1000,1000,30,100,0.04,0.036730957,1.43
10,1000,1000,30,100,0.04,0.036743774,1.43
100,1000,1000,30,100,0.04,0.036744995,1.43
1000,1000,1000,30,100,0.04,0.036744995,1.43
0.1,1000,1000,90,100,0.04,0.036849976,1.36
0.2,1000,1000,90,100,0.04,0.03694397,1.4
1,1000,1000,90,100,0.04,0.037006226,1.43
10,1000,1000,90,100,0.04,0.037018433,1.44
100,1000,1000,90,100,0.04,0.037019653,1.44
1000,1000,1000,90,100,0.04,0.037019653,1.44
0.1,1000,1000,100,100,0.04,0.036864624,1.36
0.2,1000,1000,100,100,0.04,0.036958008,1.4
1,1000,1000,100,100,0.04,0.037020264,1.43
10,1000,1000,100,100,0.04,0.037032471,1.44
100,1000,1000,100,100,0.04,0.037033691,1.44
1000,1000,1000,100,100,0.04,0.037033691,1.44
0.1,1000,1000,300,100,0.04,0.036953735,1.36
0.2,1000,1000,300,100,0.04,0.037046509,1.4
1,1000,1000,300,100,0.04,0.037107544,1.44
10,1000,1000,300,100,0.04,0.037120361,1.44
100,1000,1000,300,100,0.04,0.037120972,1.45
1000,1000,1000,300,100,0.04,0.037121582,1.44
0.1,1000,1000,500,100,0.04,0.036971436,1.36
0.2,1000,1000,500,100,0.04,0.037064209,1.41
1,1000,1000,500,100,0.04,0.037125244,1.44
10,1000,1000,500,100,0.04,0.037138062,1.44
100,1000,1000,500,100,0.04,0.037138672,1.45
1000,1000,1000,500,100,0.04,0.037139282,1.44
0.1,1000,1000,1000,100,0.04,0.036984863,1.37
0.2,1000,1000,1000,100,0.04,0.037077637,1.41
1,1000,1000,1000,100,0.04,0.037138672,1.44
10,1000,1000,1000,100,0.04,0.037150879,1.45
100,1000,1000,1000,100,0.04,0.0371521,1.45
1000,1000,1000,1000,100,0.04,0.0371521,1.45
0.1,1000,1000,0.01,100,0.06,0.0301105,0.76
0.2,1000,1000,0.01,100,0.06,0.0302552,0.77
1,1000,1000,0.01,100,0.06,0.0303661,0.79
10,1000,1000,0.01,100,0.06,0.0303906,0.79
100,1000,1000,0.01,100,0.06,0.0303931,0.79
1000,1000,1000,0.01,100,0.06,0.0303934,0.79
0.1,1000,1000,0.1,100,0.06,0.030331,0.76
0.2,1000,1000,0.1,100,0.06,0.0304786,0.78
1,1000,1000,0.1,100,0.06,0.030591,0.79
10,1000,1000,0.1,100,0.06,0.0306161,0.8
100,1000,1000,0.1,100,0.06,0.0306185,0.8
1000,1000,1000,0.1,100,0.06,0.0306188,0.8
0.1,1000,1000,0.2,100,0.06,0.0305611,0.76
0.2,1000,1000,0.2,100,0.06,0.0307103,0.78
1,1000,1000,0.2,100,0.06,0.0308248,0.8
10,1000,1000,0.2,100,0.06,0.0308494,0.8
100,1000,1000,0.2,100,0.06,0.0308518,0.8
1000,1000,1000,0.2,100,0.06,0.0308521,0.8
0.1,1000,1000,1,100,0.06,0.030110474,0.76
0.2,1000,1000,1,100,0.06,0.0320925,0.8
1,1000,1000,1,100,0.06,0.0322164,0.82
10,1000,1000,1,100,0.06,0.0322432,0.82
100,1000,1000,1,100,0.06,0.032246,0.82
1000,1000,1000,1,100,0.06,0.0322462,0.82
0.1,1000,1000,5,100,0.06,0.030331421,0.76
0.2,1000,1000,5,100,0.06,0.0344599,0.83
1,1000,1000,5,100,0.06,0.0346021,0.85
10,1000,1000,5,100,0.06,0.0346315,0.86
100,1000,1000,5,100,0.06,0.0346345,0.86
1000,1000,1000,5,100,0.06,0.0346348,0.86
0.1,1000,1000,10,100,0.06,0.030560913,0.76
0.2,1000,1000,10,100,0.06,0.0352255,0.84
1,1000,1000,10,100,0.06,0.0353731,0.87
10,1000,1000,10,100,0.06,0.035404,0.87
100,1000,1000,10,100,0.06,0.0354071,0.87
1000,1000,1000,10,100,0.06,0.0354074,0.87
0.1,1000,1000,30,100,0.06,0.031928101,0.78
0.2,1000,1000,30,100,0.06,0.0358989,0.85
1,1000,1000,30,100,0.06,0.0360516,0.88
10,1000,1000,30,100,0.06,0.0360834,0.88
