(K/u)_L,(K/u)_M,Jm_L,Jm_M,u_L/u_M(Shear contrast),volume contrast,critical strain,wavenumber
0.25,0.25,0.260205999,0.260205999,1,1,0.185038322,0.902081736
0.5,0.5,0.260205999,0.260205999,1,1,0.184534085,0.903263195
0.75,0.75,0.260205999,0.260205999,1,1,0.184483605,0.903263195
1,1,0.260205999,0.260205999,1,1,0.184478585,0.903263195
0,0,0.4,0.4,1,1,0.13610779,0.882443731
0.075257499,0.075257499,0.4,0.4,1,1,0.134085542,0.883880189
0.25,0.25,0.4,0.4,1,1,0.132536854,0.885296271
0.5,0.5,0.4,0.4,1,1,0.132195211,0.885296271
0.75,0.75,0.4,0.4,1,1,0.132161186,0.885296271
1,1,0.4,0.4,1,1,0.132157839,0.885296271
0,0,0.539794001,0.539794001,1,1,0.105390039,0.837527576
0.075257499,0.075257499,0.539794001,0.539794001,1,1,0.104348376,0.846214106
0.25,0.25,0.539794001,0.539794001,1,1,0.103453969,0.854204939
0.5,0.5,0.539794001,0.539794001,1,1,0.103246194,0.854204939
0.75,0.75,0.539794001,0.539794001,1,1,0.103225556,0.854204939
1,1,0.539794001,0.539794001,1,1,0.103223604,0.854204939
0,0,0.6,0.6,1,1,0.097887837,0
0.075257499,0.075257499,0.6,0.6,1,1,0.097763451,0
0.25,0.25,0.6,0.6,1,1,0.097270091,0
0.5,0.5,0.6,0.6,1,1,0.097352085,0
0.75,0.75,0.6,0.6,1,1,0.097065384,0
1,1,0.6,0.6,1,1,0.097062595,0
0,0,0.695424251,0.695424251,1,1,0.092122297,0.460737265
0.075257499,0.075257499,0.695424251,0.695424251,1,1,0.092057036,0.460737265
0.25,0.25,0.695424251,0.695424251,1,1,0.090222762,0
0.5,0.5,0.695424251,0.695424251,1,1,0.090161406,0
0.75,0.75,0.695424251,0.695424251,1,1,0.090166426,0
1,1,0.695424251,0.695424251,1,1,0.090166705,0
0,0,0.790848502,0.790848502,1,1,0.089558441,0
0.075257499,0.075257499,0.790848502,0.790848502,1,1,0.089943033,0
0.25,0.25,0.790848502,0.790848502,1,1,0.090018334,0
0.5,0.5,0.790848502,0.790848502,1,1,0.090049012,0.460737265
0.75,0.75,0.790848502,0.790848502,1,1,0.090048733,0.460737265
1,1,0.790848502,0.790848502,1,1,0.090048454,0.460737265
0,0,0.8,0.8,1,1,0.089941081,0
0.075257499,0.075257499,0.8,0.8,1,1,0.089929089,0
0.25,0.25,0.8,0.8,1,1,0.089944149,0
0.5,0.5,0.8,0.8,1,1,0.089945543,0
0.75,0.75,0.8,0.8,1,1,0.08994889,0
1,1,0.8,0.8,1,1,0.089940244,0
0,0,0.895424251,0.895424251,1,1,0.089333654,0
0.075257499,0.075257499,0.895424251,0.895424251,1,1,0.08932696,0
0.25,0.25,0.895424251,0.895424251,1,1,0.089354292,0
0.5,0.5,0.895424251,0.895424251,1,1,0.089360427,0
0.75,0.75,0.895424251,0.895424251,1,1,0.08935457,0
1,1,0.895424251,0.895424251,1,1,0.089311063,0
0,0,0.939794001,0.939794001,1,1,0.089220423,0
0.075257499,0.075257499,0.939794001,0.939794001,1,1,0.08920369,0
0.25,0.25,0.939794001,0.939794001,1,1,0.089239946,0
0.5,0.5,0.939794001,0.939794001,1,1,0.089235205,0
0.75,0.75,0.939794001,0.939794001,1,1,0.089237436,0
1,1,0.939794001,0.939794001,1,1,0.089237993,0
0,0,1,1,1,1,0.089120022,0
0.075257499,0.075257499,1,1,1,1,0.089116396,0
0.25,0.25,1,1,1,1,0.089153768,0
0.5,0.5,1,1,1,1,0.08914819,0
0.75,0.75,1,1,1,1,0.089149864,0
1,1,1,1,1,1,0.089151537,0
0,1,1,0,1,0,0.085214999,0.937689352
0.075257499,1,1,0,1,0,0.085521399,0.939339507
0.25,1,1,0,1,0,0.085758009,0.94096283
0.5,1,1,0,1,0,0.085810777,0.94096283
0.75,1,1,0,1,0,0.085815884,0.94096283
1,1,1,0,1,0,0.085815884,0.94096283
0,1,1,0.2,1,0,0.085883973,0.937689352
0.075257499,1,1,0.2,1,0,0.086190373,0.940154468
0.25,1,1,0.2,1,0,0.086426982,0.941764698
0.5,1,1,0.2,1,0,0.086479751,0.941764698
0.75,1,1,0.2,1,0,0.086484858,0.941764698
1,1,1,0.2,1,0,0.086484858,0.941764698
0,1,1,0.260205999,1,0,0.08657848,0.938517839
0.075257499,1,1,0.260205999,1,0,0.086886583,0.94096283
0.25,1,1,0.260205999,1,0,0.087121489,0.942560178
0.5,1,1,0.260205999,1,0,0.087172556,0.942560178
0.75,1,1,0.260205999,1,0,0.087177663,0.942560178
1,1,1,0.260205999,1,0,0.087179365,0.942560178
0,1,1,0.4,1,0,0.090714883,0.941764698
0.075257499,1,1,0.4,1,0,0.091017878,0.94413237
0.25,1,1,0.4,1,0,0.091245976,0.945680185
0.5,1,1,0.4,1,0,0.091293639,0.946445186
0.75,1,1,0.4,1,0,0.091298745,0.946445186
1,1,1,0.4,1,0,0.091298745,0.946445186
0,1,1,0.539794001,1,0,0.097746767,0.947204369
0.075257499,1,1,0.539794001,1,0,0.098032741,0.949447882
0.25,1,1,0.539794001,1,0,0.098235305,0.951642083
0.5,1,1,0.539794001,1,0,0.098277861,0.952362896
0.75,1,1,0.539794001,1,0,0.098281265,0.952362896
1,1,1,0.539794001,1,0,0.098281265,0.952362896
0,1,1,0.6,1,0,0.100010724,0.948705633
0.075257499,1,1,0.6,1,0,0.100286484,0.950916028
0.25,1,1,0.6,1,0,0.100477133,0.953078541
0.5,1,1,0.6,1,0,0.100514582,0.953789093
0.75,1,1,0.6,1,0,0.100519689,0.953789093
1,1,1,0.6,1,0,0.100519689,0.953789093
0,1,1,0.695424251,1,0,0.101995516,0.950184654
0.075257499,1,1,0.695424251,1,0,0.102261063,0.952362896
0.25,1,1,0.695424251,1,0,0.102439797,0.955195203
0.5,1,1,0.695424251,1,0,0.102475543,0.955195203
0.75,1,1,0.695424251,1,0,0.102478948,0.955195203
1,1,1,0.695424251,1,0,0.102478948,0.955195203
0,1,1,0.790848502,1,0,0.10277173,0.950184654
0.075257499,1,1,0.790848502,1,0,0.103033873,0.953078541
0.25,1,1,0.790848502,1,0,0.103207499,0.955195203
0.5,1,1,0.790848502,1,0,0.103241544,0.9558909
0.75,1,1,0.790848502,1,0,0.103244948,0.9558909
1,1,1,0.790848502,1,0,0.103244948,0.9558909
0,1,1,0.8,1,0,0.102812584,0.950184654
0.075257499,1,1,0.8,1,0,0.103073024,0.953078541
0.25,1,1,0.8,1,0,0.10324665,0.955195203
0.5,1,1,0.8,1,0,0.103280695,0.9558909
0.75,1,1,0.8,1,0,0.103284099,0.9558909
1,1,1,0.8,1,0,0.103284099,0.9558909
0,1,1,0.895424251,1,0,0.103061108,0.950184654
0.075257499,1,1,0.895424251,1,0,0.103319846,0.953078541
0.25,1,1,0.895424251,1,0,0.103490068,0.9558909
0.5,1,1,0.895424251,1,0,0.103525815,0.9558909
0.75,1,1,0.895424251,1,0,0.103527517,0.956581782
1,1,1,0.895424251,1,0,0.10352922,0.9558909
0,1,1,0.939794001,1,0,0.103110473,0.950184654
0.075257499,1,1,0.939794001,1,0,0.103369211,0.953789093
0.25,1,1,0.939794001,1,0,0.103539433,0.9558909
0.5,1,1,0.939794001,1,0,0.10357518,0.9558909
0.75,1,1,0.939794001,1,0,0.103576882,0.956581782
1,1,1,0.939794001,1,0,0.103578584,0.9558909
0,1,1,1,1,0,0.103147922,0.950916028
0.075257499,1,1,1,1,0,0.103406659,0.953789093
0.25,1,1,1,1,0,0.103576882,0.9558909
0.5,1,1,1,1,0,0.103610926,0.956581782
0.75,1,1,1,1,0,0.103614331,0.956581782
1,1,1,1,1,0,0.103614331,0.956581782
0,1,1,0,1,0.584962501,0.083975854,0.892090193
0.075257499,1,1,0,1,0.584962501,0.084379411,0.893395206
0.25,1,1,0,1,0.584962501,0.084688703,0.895955144
0.5,1,1,0,1,0.584962501,0.084757032,0.895955144
0.75,1,1,0,1,0.584962501,0.084764004,0.895955144
1,1,1,0,1,0.584962501,0.084764841,0.895955144
0,1,1,0.2,1,0.584962501,0.084590812,0.892090193
0.075257499,1,1,0.2,1,0.584962501,0.085002457,0.89468338
0.25,1,1,0.2,1,0.584962501,0.085315932,0.895955144
0.5,1,1,0.2,1,0.584962501,0.085385934,0.897210911
0.75,1,1,0.2,1,0.584962501,0.085392627,0.897210911
1,1,1,0.2,1,0.584962501,0.085393464,0.897210911
0,1,1,0.260205999,1,0.584962501,0.085232543,0.892090193
0.075257499,1,1,0.260205999,1,0.584962501,0.08564865,0.89468338
0.25,1,1,0.260205999,1,0.584962501,0.085967982,0.897210911
0.5,1,1,0.260205999,1,0.584962501,0.086036589,0.897210911
0.75,1,1,0.260205999,1,0.584962501,0.086043283,0.897210911
1,1,1,0.260205999,1,0.584962501,0.086044119,0.897210911
0,1,1,0.4,1,0.584962501,0.083975781,0.892090193
0.075257499,1,1,0.4,1,0.584962501,0.089503499,0.897210911
0.25,1,1,0.4,1,0.584962501,0.089849046,0.899676027
0.5,1,1,0.4,1,0.584962501,0.08992379,0.899676027
0.75,1,1,0.4,1,0.584962501,0.089931599,0.899676027
1,1,1,0.4,1,0.584962501,0.089932156,0.899676027
0,1,1,0.539794001,1,0.584962501,0.084591986,0.892090193
0.075257499,1,1,0.539794001,1,0.584962501,0.096105994,0.900886128
0.25,1,1,0.539794001,1,0.584962501,0.096502579,0.903263195
0.5,1,1,0.539794001,1,0.584962501,0.096584573,0.904430836
0.75,1,1,0.539794001,1,0.584962501,0.09659294,0.904430836
1,1,1,0.539794001,1,0.584962501,0.096593777,0.904430836
0,1,1,0.6,1,0.584962501,0.085232022,0.892090193
0.075257499,1,1,0.6,1,0.584962501,0.098241193,0.902081736
0.25,1,1,0.6,1,0.584962501,0.098652838,0.905584977
0.5,1,1,0.6,1,0.584962501,0.098739016,0.905584977
0.75,1,1,0.6,1,0.584962501,0.098747662,0.905584977
1,1,1,0.6,1,0.584962501,0.098748498,0.905584977
0,1,1,0.695424251,1,0.584962501,0.089045002,0.89468338
0.075257499,1,1,0.695424251,1,0.584962501,0.100119254,0.903263195
0.25,1,1,0.695424251,1,0.584962501,0.100545122,0.906725928
0.5,1,1,0.695424251,1,0.584962501,0.10063381,0.906725928
0.75,1,1,0.695424251,1,0.584962501,0.100642735,0.906725928
1,1,1,0.695424251,1,0.584962501,0.100643571,0.906725928
0,1,1,0.790848502,1,0.584962501,0.095561112,0.897210911
0.075257499,1,1,0.790848502,1,0.584962501,0.100855251,0.903263195
0.25,1,1,0.790848502,1,0.584962501,0.10128586,0.906725928
0.5,1,1,0.790848502,1,0.584962501,0.101375106,0.907853987
0.75,1,1,0.790848502,1,0.584962501,0.101383751,0.907853987
1,1,1,0.790848502,1,0.584962501,0.101384588,0.907853987
0,1,1,0.8,1,0.584962501,0.09766506,0.898451077
0.075257499,1,1,0.8,1,0.584962501,0.100894178,0.903263195
0.25,1,1,0.8,1,0.584962501,0.10132484,0.906725928
0.5,1,1,0.8,1,0.584962501,0.101415058,0.907853987
0.75,1,1,0.8,1,0.584962501,0.101423569,0.907853987
1,1,1,0.8,1,0.584962501,0.101423569,0.907853987
0,1,1,0.895424251,1,0.584962501,0.099513675,0.898451077
0.075257499,1,1,0.895424251,1,0.584962501,0.101129085,0.903263195
0.25,1,1,0.895424251,1,0.584962501,0.101561449,0.906725928
0.5,1,1,0.895424251,1,0.584962501,0.101649965,0.907853987
